gene_id	status
LOC5505835	unmethylated
LOC116613694	unmethylated
LOC5505831	unmethylated
LOC5505827	unmethylated
LOC5516299	unmethylated
LOC116620342	unmethylated
LOC116620384	unmethylated
LOC5516292	unmethylated
LOC5516304	unmethylated
LOC116620388	unmethylated
LOC116620343	unmethylated
LOC5516310	unmethylated
LOC116620377	unmethylated
LOC5516300	unmethylated
LOC5516350	unmethylated
LOC116620345	unmethylated
LOC116617938	unmethylated
LOC116620386	unmethylated
LOC5500447	unmethylated
LOC116620385	unmethylated
LOC5516352	unmethylated
LOC5516353	unmethylated
LOC125567925	unmethylated
LOC5516322	unmethylated
LOC5516323	unmethylated
LOC5516354	unmethylated
LOC5516324	unmethylated
LOC5516358	unmethylated
LOC5516327	unmethylated
LOC5516328	unmethylated
LOC5516359	unmethylated
LOC116620369	unmethylated
LOC5516330	unmethylated
LOC125561857	unmethylated
LOC5516361	unmethylated
LOC116620364	unmethylated
LOC125572223	unmethylated
LOC5516363	unmethylated
LOC125561928	unmethylated
LOC125572225	unmethylated
LOC125572217	unmethylated
LOC125561935	unmethylated
LOC116620367	unmethylated
LOC5516365	unmethylated
LOC5516334	unmethylated
LOC116620348	unmethylated
LOC5516335	unmethylated
LOC125562451	unmethylated
LOC116620361	unmethylated
LOC116620363	unmethylated
LOC5516337	unmethylated
LOC5516369	unmethylated
LOC5516370	unmethylated
LOC5516340	unmethylated
LOC116620339	unmethylated
LOC5516341	unmethylated
LOC5516378	unmethylated
LOC5516343	unmethylated
LOC5516344	unmethylated
LOC5516347	unmethylated
LOC5516348	unmethylated
LOC5498205	unmethylated
LOC125563102	unmethylated
LOC5515188	unmethylated
LOC5515189	unmethylated
LOC5515191	unmethylated
LOC5515194	unmethylated
LOC5515198	unmethylated
LOC5515184	unmethylated
LOC5515199	unmethylated
LOC5504030	unmethylated
LOC125562707	unmethylated
LOC125561992	unmethylated
LOC5506248	unmethylated
LOC5506249	unmethylated
LOC125565817	unmethylated
LOC5509844	unmethylated
LOC5509823	unmethylated
LOC116616771	unmethylated
LOC125562974	unmethylated
LOC5509820	unmethylated
LOC5509841	unmethylated
LOC116616781	unmethylated
LOC5509818	unmethylated
LOC5509840	unmethylated
LOC5509817	unmethylated
LOC5509816	unmethylated
LOC5509838	unmethylated
LOC5509810	unmethylated
LOC5509835	unmethylated
LOC5509834	unmethylated
LOC5509833	unmethylated
LOC116616797	unmethylated
LOC5509809	unmethylated
LOC5509807	unmethylated
LOC5509825	unmethylated
LOC5509802	unmethylated
LOC5509806	unmethylated
LOC116616794	unmethylated
LOC116616796	unmethylated
LOC116616779	unmethylated
LOC116616774	unmethylated
LOC116616775	unmethylated
LOC116616785	unmethylated
LOC125565305	unmethylated
LOC116616786	unmethylated
LOC5509794	unmethylated
LOC5509787	unmethylated
LOC5509788	unmethylated
LOC5509786	unmethylated
LOC125565607	unmethylated
LOC5509798	unmethylated
LOC5509785	unmethylated
LOC116614046	unmethylated
LOC5499305	unmethylated
LOC5506254	unmethylated
LOC5506261	unmethylated
LOC5506271	unmethylated
LOC116614041	unmethylated
LOC5506268	unmethylated
LOC5506269	unmethylated
LOC5501259	unmethylated
LOC5501260	unmethylated
LOC116603634	unmethylated
LOC125565909	unmethylated
LOC5504870	unmethylated
LOC5504879	unmethylated
LOC5504871	unmethylated
LOC5504872	unmethylated
LOC5504888	unmethylated
LOC5504878	unmethylated
LOC5504864	unmethylated
LOC125566655	unmethylated
LOC5504865	unmethylated
LOC5504866	unmethylated
LOC5504881	unmethylated
LOC116612479	unmethylated
LOC125561748	unmethylated
LOC5504876	unmethylated
LOC125561752	unmethylated
LOC125561922	unmethylated
LOC125568057	unmethylated
LOC5517096	unmethylated
LOC5517094	unmethylated
LOC5517086	unmethylated
LOC5517093	unmethylated
LOC5517082	unmethylated
LOC5517091	unmethylated
LOC5517163	unmethylated
LOC5517101	unmethylated
LOC5517103	unmethylated
LOC5517104	unmethylated
LOC5517169	unmethylated
LOC5517114	unmethylated
LOC5517174	unmethylated
LOC5517118	unmethylated
LOC5517176	unmethylated
LOC5517125	unmethylated
LOC116621199	unmethylated
LOC5499469	unmethylated
LOC5517185	unmethylated
LOC5517129	unmethylated
LOC5517188	unmethylated
LOC5517187	unmethylated
LOC5517189	unmethylated
LOC116621192	unmethylated
LOC116621204	unmethylated
LOC5517190	unmethylated
LOC116621200	unmethylated
LOC5517138	unmethylated
LOC5517194	unmethylated
LOC116621169	unmethylated
LOC5517196	unmethylated
LOC5517143	unmethylated
LOC5517199	unmethylated
LOC116621194	unmethylated
LOC5517201	unmethylated
LOC5517148	unmethylated
LOC5517202	unmethylated
LOC116621207	unmethylated
LOC5517206	unmethylated
LOC5517153	unmethylated
LOC116621175	unmethylated
LOC5517209	unmethylated
LOC5517155	unmethylated
LOC5517212	unmethylated
LOC116621173	unmethylated
LOC116621176	unmethylated
LOC116621146	unmethylated
LOC5517160	unmethylated
LOC116621189	unmethylated
LOC5510662	unmethylated
LOC5503590	unmethylated
LOC5510659	unmethylated
LOC116617267	unmethylated
LOC125556708	unmethylated
LOC5510682	unmethylated
LOC5510681	unmethylated
LOC5510655	unmethylated
LOC5510678	unmethylated
LOC5510653	unmethylated
LOC5510650	unmethylated
LOC5510649	unmethylated
LOC5510677	unmethylated
LOC5510676	unmethylated
LOC116617269	unmethylated
LOC116617264	unmethylated
LOC5510645	unmethylated
LOC5510673	unmethylated
LOC5510644	unmethylated
LOC5510641	unmethylated
LOC5506448	unmethylated
LOC5506459	unmethylated
LOC5506449	unmethylated
LOC5506457	unmethylated
LOC5506469	unmethylated
LOC5506453	unmethylated
LOC5506455	unmethylated
LOC5506454	unmethylated
LOC116603019	unmethylated
LOC5519078	unmethylated
LOC5519075	unmethylated
LOC5519074	unmethylated
LOC116603002	unmethylated
LOC5519073	unmethylated
LOC5519072	unmethylated
LOC5519071	unmethylated
LOC5519070	unmethylated
LOC5519069	unmethylated
LOC116619803	unmethylated
LOC125568263	unmethylated
LOC5519068	unmethylated
LOC5519066	unmethylated
LOC5502665	unmethylated
LOC5502667	unmethylated
LOC5502675	unmethylated
LOC5502674	unmethylated
LOC125560965	unmethylated
LOC116610202	unmethylated
LOC125556705	unmethylated
LOC116602965	unmethylated
LOC5519127	unmethylated
LOC5519064	unmethylated
LOC5519062	unmethylated
LOC116602999	unmethylated
LOC5519124	unmethylated
LOC116602998	unmethylated
LOC5519061	unmethylated
LOC5519060	unmethylated
LOC125565806	unmethylated
LOC5519121	unmethylated
LOC116612202	unmethylated
LOC5519056	unmethylated
LOC116602958	unmethylated
LOC5519054	unmethylated
LOC5519116	unmethylated
LOC116602995	unmethylated
LOC116602992	unmethylated
LOC116602991	unmethylated
LOC116602993	unmethylated
LOC5519051	unmethylated
LOC116602986	unmethylated
LOC5519112	unmethylated
LOC5519111	unmethylated
LOC5519048	unmethylated
LOC125568295	unmethylated
LOC5519047	unmethylated
LOC5519106	unmethylated
LOC5519104	unmethylated
LOC5519045	unmethylated
LOC5519043	unmethylated
LOC5519103	unmethylated
LOC116602980	unmethylated
LOC5519101	unmethylated
LOC5519042	unmethylated
LOC5519041	unmethylated
LOC5519099	unmethylated
LOC5519098	unmethylated
LOC5519040	unmethylated
LOC5519097	unmethylated
LOC5519096	unmethylated
LOC125568600	unmethylated
LOC5519094	unmethylated
LOC5519093	unmethylated
LOC116603015	unmethylated
LOC125568149	unmethylated
LOC116608134	unmethylated
LOC5519088	unmethylated
LOC5519034	unmethylated
LOC125569624	unmethylated
LOC5519032	unmethylated
LOC5519083	unmethylated
LOC5519082	unmethylated
LOC116603007	unmethylated
LOC5519031	unmethylated
LOC116603012	unmethylated
LOC5519030	unmethylated
LOC5519026	unmethylated
LOC116602961	unmethylated
LOC5519017	unmethylated
LOC5519016	unmethylated
LOC5519012	unmethylated
LOC116603023	unmethylated
LOC5519025	unmethylated
LOC5496379	unmethylated
LOC5519004	unmethylated
LOC116603031	unmethylated
LOC5519008	unmethylated
LOC5519022	unmethylated
LOC5519024	unmethylated
LOC5519001	unmethylated
LOC116602962	unmethylated
LOC5519009	unmethylated
LOC5519005	unmethylated
LOC116603973	unmethylated
LOC116603920	unmethylated
LOC5520476	unmethylated
LOC5520468	unmethylated
LOC5520475	unmethylated
LOC125570199	unmethylated
LOC5520471	unmethylated
LOC116603957	unmethylated
LOC5520478	unmethylated
LOC5520479	unmethylated
LOC5520473	unmethylated
LOC5520488	unmethylated
LOC5520485	unmethylated
LOC5520491	unmethylated
LOC5520593	unmethylated
LOC116603898	unmethylated
LOC5499056	unmethylated
LOC5520492	unmethylated
LOC5520493	unmethylated
LOC125565163	unmethylated
LOC125556782	unmethylated
LOC125565204	unmethylated
LOC5520595	unmethylated
LOC5520596	unmethylated
LOC5520494	unmethylated
LOC116603940	unmethylated
LOC5520597	unmethylated
LOC116620173	unmethylated
LOC5520598	unmethylated
LOC5520496	unmethylated
LOC5520397	unmethylated
LOC5520393	unmethylated
LOC5520391	unmethylated
LOC5520466	unmethylated
LOC125570241	unmethylated
LOC5520465	unmethylated
LOC5520464	unmethylated
LOC116603761	unmethylated
LOC5520386	unmethylated
LOC116603716	unmethylated
LOC125571495	unmethylated
LOC125571645	unmethylated
LOC5520382	unmethylated
LOC5520454	unmethylated
LOC116612482	unmethylated
LOC125561072	unmethylated
LOC125572190	unmethylated
LOC116603714	unmethylated
LOC116603712	unmethylated
LOC116603713	unmethylated
LOC5520380	unmethylated
LOC5520450	unmethylated
LOC5499582	unmethylated
LOC125556669	unmethylated
LOC5520448	unmethylated
LOC116603775	unmethylated
LOC5520447	unmethylated
LOC5520446	unmethylated
LOC116603710	unmethylated
LOC5520368	unmethylated
LOC5520443	unmethylated
LOC5520441	unmethylated
LOC5520440	unmethylated
LOC5520366	unmethylated
LOC125556684	unmethylated
LOC5520438	unmethylated
LOC5520437	unmethylated
LOC125572730	unmethylated
LOC5520434	unmethylated
LOC5520433	unmethylated
LOC116603702	unmethylated
LOC5520360	unmethylated
LOC125567394	unmethylated
LOC5520359	unmethylated
LOC5520431	unmethylated
LOC116603703	unmethylated
LOC5520358	unmethylated
LOC5520357	unmethylated
LOC5498041	unmethylated
LOC5520430	unmethylated
LOC5520356	unmethylated
LOC5520355	unmethylated
LOC5520354	unmethylated
LOC5520429	unmethylated
LOC125571365	unmethylated
LOC5520353	unmethylated
LOC5520351	unmethylated
LOC116603758	unmethylated
LOC5520347	unmethylated
LOC5520346	unmethylated
LOC5520342	unmethylated
LOC5520341	unmethylated
LOC5520422	unmethylated
