gene_id	transcript_id	prot_id	gene_name	Preferred_name	PFAM_arch	log2FoldChange	padj
LOC125561349	XR_007307383.1	NA	uncharacterized LOC125561349	NA	NA	5.36655740946022	0.00182361098320963
LOC5503171	XM_032371443.2	XP_032227334.2	uncharacterized LOC5503171	-	NA	4.49054211043627	1.71875131557932e-05
LOC125561328	XM_048725466.1	XP_048581423.1	NA	NA	NA	4.21895323845068	9.6376047059278e-07
LOC116602223	XR_004290337.2	NA	uncharacterized LOC116602223	NA	NA	3.83744237498849	4.82795247091081e-06
LOC116613995	XR_004294305.2	NA	NA	NA	NA	3.34874066406432	3.0129013250736e-06
LOC5505791	XM_048728075.1	XP_048584032.1	G-protein coupled receptor GRL101	-	LRR_8;LRR_4;LRR_5;LRR_8;LRR_4;LRR_8;7tm_1	3.34846641249612	0.000208624556935452
LOC116612317	XM_032372934.2	XP_032228825.2	uncharacterized LOC116612317	NA	F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C	3.31347128727619	0.00353505893590339
LOC116615007	XM_048729983.1	XP_048585940.1	uncharacterized LOC116615007	-	PAN_1	3.27561953701162	0.00512969166072488
LOC125561796	XM_048726206.1	XP_048582163.1	NA	NA	NA	3.21001887580761	9.28076212172467e-05
LOC116618001	XM_032381215.2	XP_032237106.1	uncharacterized LOC116618001	NA	NA	3.18608010017108	1.28108254905009e-07
LOC5511085	XM_032380293.2	XP_032236184.1	NA	LRRN1	LRR_5;LRR_8;LRR_8;LRR_5;LRR_8	3.06597117093127	0.00124616876739159
LOC116614662	XM_032375891.2	XP_032231782.1	NA	-	NA	3.04076511893235	4.55599600351862e-10
LOC5510381	XM_032379529.2	XP_032235420.2	NA	-	rve	3.03509766099238	2.74367922981027e-16
LOC116602174	XM_048725424.1	XP_048581381.1	NA	NA	NA	2.88322808787338	9.54690741006254e-20
LOC5513569	XM_001633807.3	XP_001633857.1	neurogenic locus notch homolog protein 1	GP2	PAN_1;EGF	2.7680520402357	0.000551869504868654
LOC116620723	XR_004297179.2	NA	uncharacterized LOC116620723	NA	NA	2.76608033684336	0.00277697565213016
LOC116608458	XM_048731538.1	XP_048587495.1	uncharacterized LOC116608458	NA	NA	2.76186639222361	1.38013227168115e-09
LOC116611540	XM_032371916.2	XP_032227807.2	uncharacterized LOC116611540	-	NA	2.75653845930048	0.00099626254494689
LOC5510708	XM_048730502.1	XP_048586459.1	NA	-	NA	2.74494670323955	4.08559813399605e-08
LOC125561973	XR_007307678.1	NA	uncharacterized LOC125561973	NA	NA	2.74148664339465	0.00343928459047169
LOC5502888	XM_048720329.1	XP_048576286.1	NA	NA	NA	2.71146281108323	9.34603708346583e-06
LOC5513056	XM_048726930.1	XP_048582887.1	glutamate receptor 2	-	ANF_receptor;Lig_chan-Glu_bd;SBP_bac_3;Lig_chan	2.65567201163653	1.01824137664053e-11
LOC125557333	XM_048719848.1	XP_048575805.1	uncharacterized LOC125557333	-	Retrotran_gag_2	2.65307749213565	0.00388481345739813
