gene_id	transcript_id	prot_id	gene_name	Preferred_name	PFAM_arch	log2FoldChange	padj
LOC125561254	XR_007307284.1	NA	uncharacterized LOC125561254	NA	NA	6.28215783162485	0.000253237736530818
LOC116604385	XR_004291025.2	NA	uncharacterized LOC116604385	NA	NA	5.98192721698009	0.000158052377636965
LOC116621201	XM_032387241.2	XP_032243132.2	NA	-	NA	4.95383122048317	0.000681206491030583
LOC116614221	XR_004294424.2	NA	uncharacterized LOC116614221	NA	NA	3.92350468044555	0.00201572187366577
LOC125570081	XR_007312419.1	NA	uncharacterized LOC125570081	NA	NA	3.88718421472201	4.30393318843126e-10
LOC5510036	XM_001630461.3	XP_001630511.3	NA	PRUNE	DHH;DHHA2	3.30798380542897	2.22260078181386e-21
LOC125558982	XR_007306223.1	NA	NA	NA	NA	3.11477973349834	8.51413769421496e-05
LOC5525232	XM_032375658.2	XP_032231549.2	NA	-	Pkinase;PK_Tyr_Ser-Thr;ABC1	2.55453741975361	3.89019131645355e-19
LOC116617173	XR_004295653.2	NA	uncharacterized LOC116617173	NA	NA	2.19274379447823	7.25852438659141e-08
LOC125562260	XR_007307971.1	NA	uncharacterized LOC125562260	NA	NA	2.13719292379172	1.80826356290457e-08
LOC5498419	XM_048728815.1	XP_048584772.1	NA	-	Helicase_C	2.05298812072736	9.75462822585205e-07
LOC116616014	XR_004295130.2	NA	uncharacterized LOC116616014	NA	NA	1.94823722010877	1.01140858068415e-13
LOC116620164	XM_032385811.2	XP_032241702.1	NA	-	RVT_1	1.92478380761503	3.09936630710466e-07
LOC5513436	XM_032382963.2	XP_032238854.2	serine/threonine/tyrosine-protein kinase HT1	-	Pkinase;PK_Tyr_Ser-Thr;Kdo	1.88321648768373	0.00965982980606367
LOC125559840	XM_048721787.1	XP_048577744.1	piggyBac transposable element-derived protein 4-like	-	DDE_Tnp_1_7	1.81363914459515	0.00110838365524695
LOC5511823	XM_001632149.3	XP_001632199.2	NA	-	p450	1.5995111085815	0.000929910120838672
