gene_id	transcript_id	prot_id	gene_name	Preferred_name	PFAM_arch	log2FoldChange	padj
LOC116610668	XR_007312527.1	NA	uncharacterized LOC116610668	NA	NA	-4.96215596658678	0.00201572187366577
LOC5502487	XM_001623602.3	XP_001623652.1	protein CUSTOS	NA	NA	-4.56574606981754	3.59604337728054e-27
LOC116613514	XM_032374060.2	XP_032229951.2	uncharacterized LOC116613514	-	NA	-3.54892868994193	0.000124927997616139
LOC125567890	XR_007311879.1	NA	uncharacterized LOC125567890	NA	NA	-3.49258187457903	0.00654955377844916
LOC5509388	XM_001629838.3	XP_001629888.2	S-adenosylmethionine synthase	MAT1A	S-AdoMet_synt_N;S-AdoMet_synt_M;S-AdoMet_synt_C	-3.41786252644964	7.08021179525438e-74
LOC125561020	XR_007307018.1	NA	uncharacterized LOC125561020	NA	NA	-3.23002602581566	1.87307856304797e-09
LOC5501320	XM_032369654.2	XP_032225545.2	NA	-	NA	-3.05805001091716	2.42402003823442e-19
LOC5512818	XM_032382268.2	XP_032238159.2	uncharacterized LOC5512818	-	EcKL	-3.04678572217668	6.2084732868877e-12
LOC5510511	XM_001630918.3	XP_001630968.2	DNA polymerase iota	POLI	IMS;IMS_C	-3.03245110398656	2.73901652378609e-11
LOC116617681	XM_032380618.2	XP_032236509.2	ADP-ribosylation factor-like protein 6-interacting protein 4	ARL6IP4	SR-25	-3.0262073566312	3.5429659436782e-19
LOC5507470	XM_048728504.1	XP_048584461.1	NA	-	7TM_GPCR_Srw;7tm_1	-2.95236354674772	1.00950649259248e-11
LOC5505626	XM_032373975.2	XP_032229866.2	NA	-	APH	-2.79277550669211	2.14476204369969e-11
LOC125561970	XR_007307677.1	NA	uncharacterized LOC125561970	NA	NA	-2.73108759905782	6.0354885296548e-05
LOC5516660	XM_001636675.3	XP_001636725.3	ornithine transcarbamylase%2C mitochondrial	OTC	OTCace_N;OTCace	-2.70961666531864	4.91409342260288e-20
LOC5509911	XM_032378940.2	XP_032234831.2	trifunctional purine biosynthetic protein adenosine-3	GART	GARS_N;GARS_A;GARS_C;AIRS;AIRS_C;Formyl_trans_N	-2.69133744520917	8.01046076709007e-53
LOC5520320	XM_001640190.3	XP_001640240.2	NA	BC026585	ADH_N;ADH_zinc_N;ADH_zinc_N_2	-2.6788029287484	3.35656101493225e-05
LOC116601881	XR_004290181.2	NA	uncharacterized LOC116601881	NA	NA	-2.63212306102695	7.41646221906279e-05
LOC116617041	XM_032379422.2	XP_032235313.1	NA	NA	Acetyltransf_1;Acetyltransf_10;FR47;Gly_acyl_tr_C	-2.61588590140967	4.20207207430343e-16
LOC116602251	XR_004290350.2	NA	uncharacterized LOC116602251	NA	NA	-2.6132890390571	0.000589024348753807
LOC5503786	XM_001624698.3	XP_001624748.2	NA	ALLC	Allantoicase;Allantoicase	-2.549474470783	4.62131557662038e-32
LOC116617253	XM_048733607.1	XP_048589564.1	NA	-	NA	-2.52500100195508	2.68079069043606e-06
LOC5507850	XM_001628424.3	XP_001628474.1	aldo/keto reductase slr0942	-	Aldo_ket_red	-2.47610789211068	2.50542499492099e-15
LOC5504846	XM_001625682.3	XP_001625732.1	arylsulfatase B	ARSB	Sulfatase;Phosphodiest	-2.46658980460107	8.8611998133554e-34
LOC5515745	XM_032385541.2	XP_032241432.1	NA	-	SH2;PH_3;PH	-2.43234431535067	2.01842125175646e-10
