gene_id	transcript_id	prot_id	gene_name	Preferred_name	PFAM_arch	log2FoldChange	padj
LOC125561291	XR_007307322.1	NA	NA	NA	NA	-4.16902996995842	0.00274302461012458
LOC5509242	XM_001629744.3	XP_001629794.1	uncharacterized LOC5509242	-	EF-hand_7;EF-hand_1	-2.81391743216592	0.0027985835987168
LOC116601164	XR_004289925.2	NA	NA	NA	NA	-2.70962257647151	0.000561950588967446
LOC116621574	XM_032387443.2	XP_032243334.2	NA	NA	NA	-2.15750952899106	0.00442484273546431
LOC5518799	XM_001638679.3	XP_001638729.2	NA	-	MFS_1;MFS_1	-2.14388588179374	1.08285198691232e-12
LOC5502501	XM_032370751.2	XP_032226642.2	NA	-	FAD_binding_2;NAD_binding_8;Amino_oxidase	-2.08879709404861	6.63435869716889e-06
LOC5520906	XM_001640779.3	XP_001640829.2	NA	NA	MFS_1	-1.94449953520304	0.00270195319579623
LOC125567998	XR_007311984.1	NA	uncharacterized LOC125567998	NA	NA	-1.90047909320461	0.00454720677571186
LOC5506123	XM_048720337.1	XP_048576294.1	uncharacterized LOC5506123	NA	PARP;PARP	-1.89188961862954	4.33427539057052e-09
LOC5505172	XM_001625958.3	XP_001626008.2	NA	-	2OG-FeII_Oxy_3	-1.77745687648399	0.00233205997972319
LOC116611883	XM_032372500.2	XP_032228391.2	E3 ubiquitin-protein ligase TRIM71	-	zf-RING_UBOX;Filamin;DUF5128;NHL;NHL;NHL	-1.76334862902671	2.17055726358034e-05
LOC5514151	XM_048728090.1	XP_048584047.1	NA	-	Cupin_8	-1.70074650318492	1.81039799555287e-11
LOC125568355	XM_048730432.1	XP_048586389.1	ATP synthase subunit s%2C mitochondrial-like	NA	LRR_4	-1.66569345699536	4.21748857937858e-05
LOC5520966	XM_048729091.1	XP_048585048.1	NA	TAF1B	zf-RRN7	-1.63586794486892	0.000195599886458253
LOC5518808	XM_032363583.2	XP_032219474.2	uncharacterized LOC5518808	NA	Laminin_G_3;Lectin_C	-1.57919487966506	3.98004959004247e-11
LOC125568041	XR_007312042.1	NA	uncharacterized LOC125568041	NA	NA	-1.57006308648892	0.000604485768615749
LOC5516300	XM_032386201.2	XP_032242092.2	NA	-	Kazal_2;Kazal_2;Kazal_2;Amnionless	-1.52114817502688	0.00695756672957494
LOC5502642	XM_001623759.3	XP_001623809.1	NA	ADRB2	7tm_1	-1.51202875478743	2.5350665978691e-11
LOC5505897	XM_032374239.2	XP_032230130.1	NA	DHRS1	adh_short;adh_short_C2	-1.50777731409337	1.31605822951144e-07
LOC5512997	XM_048730353.1	XP_048586310.1	NA	WDR81	Beach;WD40	-1.48727326144158	6.1645907915957e-11
LOC5508709	XM_032377553.2	XP_032233444.1	histone H1-delta	H1F0	Linker_histone	-1.46444179372893	0.00215025822008077
LOC5507757	XM_048724521.1	XP_048580478.1	protein BZZ1	-	C1_1;SH3_2;SH3_1;SH3_9;SH3_2;SH3_9	-1.46384398193021	2.0487529063581e-08
LOC5521567	XM_001641306.3	XP_001641356.1	acyl-CoA synthetase short-chain family member 3%2C mitochondrial	ACSS3	ACAS_N;AMP-binding;AMP-binding_C	-1.42167393054657	2.49631597837057e-08
LOC5506165	XM_048724529.1	XP_048580486.1	NA	-	Cadherin;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin_pro;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin;F5_F8_type_C;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin;Cadherin	-1.41836259781793	2.03120416799869e-08
LOC5512125	XM_032381520.2	XP_032237411.2	NA	NA	CAP;Trefoil;Lectin_C	-1.38002809066761	4.71404166002062e-05
LOC5512692	XM_048722436.1	XP_048578393.1	NA	PARVA	CH;CH	-1.36575043137929	3.58199766806966e-08
LOC116609911	XR_004293191.2	NA	uncharacterized LOC116609911	NA	NA	-1.32699844322963	4.52258630589156e-05
LOC125559765	XR_007306428.1	NA	uncharacterized LOC125559765	NA	NA	-1.31894997017141	0.000784568779178478
LOC5506223	XM_032374585.2	XP_032230476.1	G-protein coupled receptor 1	-	Dicty_CAR;GPR_Gpa2_C	-1.309167087581	5.35409285368803e-13
LOC5505912	XM_048731148.1	XP_048587105.1	uncharacterized protein C1orf112	NA	DUF4487	-1.29622560445917	0.00252800301778658
LOC5518541	XM_048720808.1	XP_048576765.1	NA	EIF2AK1	Pkinase;PK_Tyr_Ser-Thr;Pkinase;PK_Tyr_Ser-Thr	-1.26544743492296	1.3356518318898e-09
LOC125561848	XR_007307542.1	NA	uncharacterized LOC125561848	NA	NA	-1.24321807485066	0.000195599886458253
LOC5519146	XM_032363988.2	XP_032219879.2	NA	-	PK_Tyr_Ser-Thr;Pkinase;Roc;COR;Death	-1.23742549443244	1.16390827913842e-09
LOC5505449	XM_048734147.1	XP_048590104.1	pseudouridine-metabolizing bifunctional protein C1861.05	-	Indigoidine_A;PfkB	-1.20658881796947	1.49688163399644e-05
LOC116616357	XM_032378459.2	XP_032234350.1	lipoxygenase homology domain-containing protein 1	NA	ATS3;PLAT	-1.20010916520601	0.000347811145462507
LOC125561041	XM_048723918.1	XP_048579875.1	neuropeptide FF receptor 2-like	-	7tm_1;7TM_GPCR_Srv	-1.19431930223456	0.00314997800923583
LOC5514972	XM_048730189.1	XP_048586146.1	protein sidekick-1	NA	fn3;fn3;fn3;fn3;fn3;fn3;fn3;fn3;fn3;fn3;Ion_trans_2	-1.19294920894719	0.00513486876589461
LOC5517129	XM_001637163.3	XP_001637213.3	protein brambleberry	-	NA	-1.17697764149842	0.00625713566416625
LOC5521440	XM_048729555.1	XP_048585512.1	NA	HPS5	NA	-1.15193132798193	0.000342287579654942
LOC116604577	XM_048733638.1	XP_048589595.1	uncharacterized LOC116604577	NA	Myelin_PLP	-1.12359253869691	0.000254131611612085
LOC116604124	XM_032366052.2	XP_032221943.2	NA	NA	zf-met;zf-met;ResIII	-1.12077195954041	6.0302081627179e-05
LOC5503621	XM_001624583.3	XP_001624633.2	NA	WWOX	WW;WW;adh_short;KR;adh_short_C2	-1.11939050804609	3.93874211148255e-06
LOC5515067	XM_032384605.2	XP_032240496.2	NA	NA	NA	-1.10812459052971	0.00627811863998062
LOC5513703	XM_048725887.1	XP_048581844.1	NA	ACAD10	Hydrolase;HAD_2;APH;EcKL;Acyl-CoA_dh_N;Acyl-CoA_dh_M;Acyl-CoA_dh_1;Acyl-CoA_dh_2	-1.09861716965873	0.000208624556935452
LOC5514148	XM_032383750.2	XP_032239641.1	tRNA-uridine aminocarboxypropyltransferase 2	DTWD2	DTW	-1.09546505436265	0.000550805795468828
LOC5505387	XM_001626190.3	XP_001626240.1	uncharacterized LOC5505387	-	Cupin_5	-1.08713627815928	2.3733111587392e-05
